"_raw",host,index,source,sourcetype,time
"moid	uuid	instance	samp_int	p_average_hbr_hbrNetTx_kiloBytesPerSecond	p_average_hbr_hbrNetRx_kiloBytesPerSecond	p_average_hbr_hbrNumVms_number
host-10	00000000-0000-0000-0000-002590d3fca0	aggregated	20	0	0	0","sv3-app-vctr60.sv.splunk.com","vmware-perf","VMPerf:HostSystem","vmware:perf:hbr","2016-06-20 03:35:00.000000 PDT"
"moid	uuid	instance	samp_int	p_average_hbr_hbrNetTx_kiloBytesPerSecond	p_average_hbr_hbrNetRx_kiloBytesPerSecond	p_average_hbr_hbrNumVms_number
host-10	00000000-0000-0000-0000-002590d3fca0	aggregated	20	0	0	0","sv3-app-vctr60.sv.splunk.com","vmware-perf","VMPerf:HostSystem","vmware:perf:hbr","2016-06-20 03:33:00.000000 PDT"
"moid	uuid	instance	samp_int	p_average_hbr_hbrNetTx_kiloBytesPerSecond	p_average_hbr_hbrNetRx_kiloBytesPerSecond	p_average_hbr_hbrNumVms_number
host-10	00000000-0000-0000-0000-002590d3fca0	aggregated	20	0	0	0","sv3-app-vctr60.sv.splunk.com","vmware-perf","VMPerf:HostSystem","vmware:perf:hbr","2016-06-20 03:30:40.000000 PDT"
"moid	uuid	instance	samp_int	p_average_hbr_hbrNetTx_kiloBytesPerSecond	p_average_hbr_hbrNetRx_kiloBytesPerSecond	p_average_hbr_hbrNumVms_number
host-10	00000000-0000-0000-0000-002590d3fca0	aggregated	20	0	0	0","sv3-app-vctr60.sv.splunk.com","vmware-perf","VMPerf:HostSystem","vmware:perf:hbr","2016-06-20 03:30:20.000000 PDT"
"moid	uuid	instance	samp_int	p_average_hbr_hbrNetTx_kiloBytesPerSecond	p_average_hbr_hbrNetRx_kiloBytesPerSecond	p_average_hbr_hbrNumVms_number
host-10	00000000-0000-0000-0000-002590d3fca0	aggregated	20	0	0	0","sv3-app-vctr60.sv.splunk.com","vmware-perf","VMPerf:HostSystem","vmware:perf:hbr","2016-06-20 03:31:40.000000 PDT"
"moid	uuid	instance	samp_int	p_average_hbr_hbrNetTx_kiloBytesPerSecond	p_average_hbr_hbrNetRx_kiloBytesPerSecond	p_average_hbr_hbrNumVms_number
host-10	00000000-0000-0000-0000-002590d3fca0	aggregated	20	0	0	0","sv3-app-vctr60.sv.splunk.com","vmware-perf","VMPerf:HostSystem","vmware:perf:hbr","2016-06-20 03:31:20.000000 PDT"
"moid	uuid	instance	samp_int	p_average_hbr_hbrNetTx_kiloBytesPerSecond	p_average_hbr_hbrNetRx_kiloBytesPerSecond	p_average_hbr_hbrNumVms_number
host-10	00000000-0000-0000-0000-002590d3fca0	aggregated	20	0	0	0","sv3-app-vctr60.sv.splunk.com","vmware-perf","VMPerf:HostSystem","vmware:perf:hbr","2016-06-20 03:32:20.000000 PDT"
"moid	uuid	instance	samp_int	p_average_hbr_hbrNetTx_kiloBytesPerSecond	p_average_hbr_hbrNetRx_kiloBytesPerSecond	p_average_hbr_hbrNumVms_number
host-10	00000000-0000-0000-0000-002590d3fca0	aggregated	20	0	0	0","sv3-app-vctr60.sv.splunk.com","vmware-perf","VMPerf:HostSystem","vmware:perf:hbr","2016-06-20 03:30:00.000000 PDT"
"moid	uuid	instance	samp_int	p_average_hbr_hbrNetTx_kiloBytesPerSecond	p_average_hbr_hbrNetRx_kiloBytesPerSecond	p_average_hbr_hbrNumVms_number
host-10	00000000-0000-0000-0000-002590d3fca0	aggregated	20	0	0	0","sv3-app-vctr60.sv.splunk.com","vmware-perf","VMPerf:HostSystem","vmware:perf:hbr","2016-06-20 03:31:00.000000 PDT"
"moid	uuid	instance	samp_int	p_average_hbr_hbrNetTx_kiloBytesPerSecond	p_average_hbr_hbrNetRx_kiloBytesPerSecond	p_average_hbr_hbrNumVms_number
host-10	00000000-0000-0000-0000-002590d3fca0	aggregated	20	0	0	0","sv3-app-vctr60.sv.splunk.com","vmware-perf","VMPerf:HostSystem","vmware:perf:hbr","2016-06-20 03:32:40.000000 PDT"
"moid	uuid	instance	samp_int	p_average_hbr_hbrNetTx_kiloBytesPerSecond	p_average_hbr_hbrNetRx_kiloBytesPerSecond	p_average_hbr_hbrNumVms_number
host-10	00000000-0000-0000-0000-002590d3fca0	aggregated	20	0	0	0","sv3-app-vctr60.sv.splunk.com","vmware-perf","VMPerf:HostSystem","vmware:perf:hbr","2016-06-20 03:32:00.000000 PDT"
"moid	uuid	instance	samp_int	p_average_hbr_hbrNetRx_kiloBytesPerSecond	p_average_hbr_hbrNumVms_number	p_average_hbr_hbrNetTx_kiloBytesPerSecond
host-10	00000000-0000-0000-0000-002590d3fca0	aggregated	20	0	0	0","sv3-app-vctr60.sv.splunk.com","vmware-perf","VMPerf:HostSystem","vmware:perf:hbr","2016-06-20 03:28:40.000000 PDT"
"moid	uuid	instance	samp_int	p_average_hbr_hbrNetRx_kiloBytesPerSecond	p_average_hbr_hbrNumVms_number	p_average_hbr_hbrNetTx_kiloBytesPerSecond
host-10	00000000-0000-0000-0000-002590d3fca0	aggregated	20	0	0	0","sv3-app-vctr60.sv.splunk.com","vmware-perf","VMPerf:HostSystem","vmware:perf:hbr","2016-06-20 03:29:00.000000 PDT"
