"_raw",host,index,source,sourcetype,time
"moid	uuid	instance	samp_int	p_average_storagePath_totalWriteLatency_millisecond	p_average_storagePath_numberReadAveraged_number	p_latest_storagePath_maxTotalLatency_millisecond	p_average_storagePath_numberWriteAveraged_number	p_average_storagePath_totalReadLatency_millisecond	p_average_storagePath_commandsAveraged_number	p_average_storagePath_read_kiloBytesPerSecond	p_average_storagePath_write_kiloBytesPerSecond
host-10	00000000-0000-0000-0000-002590d3fca0	iqn.1998-01.com.vmware:apps-esxi41-3-7b994781-00023d000001,iqn.2011-03.example.org.istgt:6.0-iscsi,t,1-t10.FreeBSD_iSCSI_Disk______002590d0fed0050_________________	20	0	0		0	0	0	0	0
host-10	00000000-0000-0000-0000-002590d3fca0	sata.vmhba1-sata.0:0-t10.ATA_____Samsung_SSD_840_PRO_Series______________S1ANNSAD756819B_____	20	0	9		1	0	10	250	47
host-10	00000000-0000-0000-0000-002590d3fca0	aggregated	20			0					","sv3-app-vctr60.sv.splunk.com","vmware-perf","VMPerf:HostSystem","vmware:perf:storagePath","2016-06-20 03:38:00.000000 PDT"
"moid	uuid	instance	samp_int	p_average_storagePath_totalWriteLatency_millisecond	p_latest_storagePath_maxTotalLatency_millisecond	p_average_storagePath_numberReadAveraged_number	p_average_storagePath_write_kiloBytesPerSecond	p_average_storagePath_commandsAveraged_number	p_average_storagePath_numberWriteAveraged_number	p_average_storagePath_totalReadLatency_millisecond	p_average_storagePath_read_kiloBytesPerSecond
host-10	00000000-0000-0000-0000-002590d3fca0	sata.vmhba1-sata.0:0-t10.ATA_____Samsung_SSD_840_PRO_Series______________S1ANNSAD756819B_____	20	0		5	46	7	1	0	149
host-10	00000000-0000-0000-0000-002590d3fca0	iqn.1998-01.com.vmware:apps-esxi41-3-7b994781-00023d000001,iqn.2011-03.example.org.istgt:6.0-iscsi,t,1-t10.FreeBSD_iSCSI_Disk______002590d0fed0050_________________	20	0		0	0	0	0	0	0
host-10	00000000-0000-0000-0000-002590d3fca0	aggregated	20		0						","sv3-app-vctr60.sv.splunk.com","vmware-perf","VMPerf:HostSystem","vmware:perf:storagePath","2016-06-20 03:35:00.000000 PDT"
"moid	uuid	instance	samp_int	p_average_storagePath_totalWriteLatency_millisecond	p_latest_storagePath_maxTotalLatency_millisecond	p_average_storagePath_numberReadAveraged_number	p_average_storagePath_write_kiloBytesPerSecond	p_average_storagePath_commandsAveraged_number	p_average_storagePath_numberWriteAveraged_number	p_average_storagePath_totalReadLatency_millisecond	p_average_storagePath_read_kiloBytesPerSecond
host-10	00000000-0000-0000-0000-002590d3fca0	sata.vmhba1-sata.0:0-t10.ATA_____Samsung_SSD_840_PRO_Series______________S1ANNSAD756819B_____	20	0		1	56	3	1	0	51
host-10	00000000-0000-0000-0000-002590d3fca0	iqn.1998-01.com.vmware:apps-esxi41-3-7b994781-00023d000001,iqn.2011-03.example.org.istgt:6.0-iscsi,t,1-t10.FreeBSD_iSCSI_Disk______002590d0fed0050_________________	20	0		0	0	0	0	0	0
host-10	00000000-0000-0000-0000-002590d3fca0	aggregated	20		0						","sv3-app-vctr60.sv.splunk.com","vmware-perf","VMPerf:HostSystem","vmware:perf:storagePath","2016-06-20 03:35:40.000000 PDT"
"moid	uuid	instance	samp_int	p_average_storagePath_totalWriteLatency_millisecond	p_latest_storagePath_maxTotalLatency_millisecond	p_average_storagePath_numberReadAveraged_number	p_average_storagePath_write_kiloBytesPerSecond	p_average_storagePath_commandsAveraged_number	p_average_storagePath_numberWriteAveraged_number	p_average_storagePath_totalReadLatency_millisecond	p_average_storagePath_read_kiloBytesPerSecond
host-10	00000000-0000-0000-0000-002590d3fca0	sata.vmhba1-sata.0:0-t10.ATA_____Samsung_SSD_840_PRO_Series______________S1ANNSAD756819B_____	20	0		4	0	5	0	0	105
host-10	00000000-0000-0000-0000-002590d3fca0	iqn.1998-01.com.vmware:apps-esxi41-3-7b994781-00023d000001,iqn.2011-03.example.org.istgt:6.0-iscsi,t,1-t10.FreeBSD_iSCSI_Disk______002590d0fed0050_________________	20	0		0	0	0	0	0	0
host-10	00000000-0000-0000-0000-002590d3fca0	aggregated	20		0						","sv3-app-vctr60.sv.splunk.com","vmware-perf","VMPerf:HostSystem","vmware:perf:storagePath","2016-06-20 03:33:20.000000 PDT"
"moid	uuid	instance	samp_int	p_average_storagePath_totalWriteLatency_millisecond	p_latest_storagePath_maxTotalLatency_millisecond	p_average_storagePath_numberReadAveraged_number	p_average_storagePath_write_kiloBytesPerSecond	p_average_storagePath_commandsAveraged_number	p_average_storagePath_numberWriteAveraged_number	p_average_storagePath_totalReadLatency_millisecond	p_average_storagePath_read_kiloBytesPerSecond
host-10	00000000-0000-0000-0000-002590d3fca0	sata.vmhba1-sata.0:0-t10.ATA_____Samsung_SSD_840_PRO_Series______________S1ANNSAD756819B_____	20	0		5	35	6	1	0	136
host-10	00000000-0000-0000-0000-002590d3fca0	iqn.1998-01.com.vmware:apps-esxi41-3-7b994781-00023d000001,iqn.2011-03.example.org.istgt:6.0-iscsi,t,1-t10.FreeBSD_iSCSI_Disk______002590d0fed0050_________________	20	0		0	0	0	0	0	0
host-10	00000000-0000-0000-0000-002590d3fca0	aggregated	20		0						","sv3-app-vctr60.sv.splunk.com","vmware-perf","VMPerf:HostSystem","vmware:perf:storagePath","2016-06-20 03:34:00.000000 PDT"
