"_raw",host,index,source,sourcetype,time
"moid	uuid	instance	samp_int	p_average_storagePath_totalWriteLatency_millisecond	p_average_storagePath_numberReadAveraged_number	p_latest_storagePath_maxTotalLatency_millisecond	p_average_storagePath_numberWriteAveraged_number	p_average_storagePath_totalReadLatency_millisecond	p_average_storagePath_commandsAveraged_number	p_average_storagePath_read_kiloBytesPerSecond	p_average_storagePath_write_kiloBytesPerSecond
"moid	uuid	instance	samp_int	p_average_storagePath_totalWriteLatency_millisecond	p_latest_storagePath_maxTotalLatency_millisecond	p_average_storagePath_numberReadAveraged_number	p_average_storagePath_write_kiloBytesPerSecond	p_average_storagePath_commandsAveraged_number	p_average_storagePath_numberWriteAveraged_number	p_average_storagePath_totalReadLatency_millisecond	p_average_storagePath_read_kiloBytesPerSecond
host-10	00000000-0000-0000-0000-002590d3fca0	sata.vmhba1-sata.0:0-t10.ATA_____Samsung_SSD_840_PRO_Series______________S1ANNSAD756819B_____	20	0		1	53	3	1	0	51
host-10	00000000-0000-0000-0000-002590d3fca0	iqn.1998-01.com.vmware:apps-esxi41-3-7b994781-00023d000001,iqn.2011-03.example.org.istgt:6.0-iscsi,t,1-t10.FreeBSD_iSCSI_Disk______002590d0fed0050_________________	20	0		0	0	0	0	0	0
host-10	00000000-0000-0000-0000-002590d3fca0	aggregated	20		0						","sv3-app-vctr60.sv.splunk.com","vmware-perf","VMPerf:HostSystem","vmware:perf:storagePath","2016-06-20 03:33:40.000000 PDT"
"moid	uuid	instance	samp_int	p_average_storagePath_totalWriteLatency_millisecond	p_latest_storagePath_maxTotalLatency_millisecond	p_average_storagePath_numberReadAveraged_number	p_average_storagePath_write_kiloBytesPerSecond	p_average_storagePath_commandsAveraged_number	p_average_storagePath_numberWriteAveraged_number	p_average_storagePath_totalReadLatency_millisecond	p_average_storagePath_read_kiloBytesPerSecond
host-10	00000000-0000-0000-0000-002590d3fca0	sata.vmhba1-sata.0:0-t10.ATA_____Samsung_SSD_840_PRO_Series______________S1ANNSAD756819B_____	20	0		1	47	3	1	0	45
host-10	00000000-0000-0000-0000-002590d3fca0	iqn.1998-01.com.vmware:apps-esxi41-3-7b994781-00023d000001,iqn.2011-03.example.org.istgt:6.0-iscsi,t,1-t10.FreeBSD_iSCSI_Disk______002590d0fed0050_________________	20	0		0	0	0	0	0	0
host-10	00000000-0000-0000-0000-002590d3fca0	aggregated	20		0						","sv3-app-vctr60.sv.splunk.com","vmware-perf","VMPerf:HostSystem","vmware:perf:storagePath","2016-06-20 03:33:00.000000 PDT"
"moid	uuid	instance	samp_int	p_average_storagePath_totalWriteLatency_millisecond	p_latest_storagePath_maxTotalLatency_millisecond	p_average_storagePath_numberReadAveraged_number	p_average_storagePath_write_kiloBytesPerSecond	p_average_storagePath_commandsAveraged_number	p_average_storagePath_numberWriteAveraged_number	p_average_storagePath_totalReadLatency_millisecond	p_average_storagePath_read_kiloBytesPerSecond
host-10	00000000-0000-0000-0000-002590d3fca0	sata.vmhba1-sata.0:0-t10.ATA_____Samsung_SSD_840_PRO_Series______________S1ANNSAD756819B_____	20	0		0	0	1	0	0	0
host-10	00000000-0000-0000-0000-002590d3fca0	iqn.1998-01.com.vmware:apps-esxi41-3-7b994781-00023d000001,iqn.2011-03.example.org.istgt:6.0-iscsi,t,1-t10.FreeBSD_iSCSI_Disk______002590d0fed0050_________________	20	0		0	0	0	0	0	0
host-10	00000000-0000-0000-0000-002590d3fca0	aggregated	20		0						","sv3-app-vctr60.sv.splunk.com","vmware-perf","VMPerf:HostSystem","vmware:perf:storagePath","2016-06-20 03:34:20.000000 PDT"
"moid	uuid	instance	samp_int	p_average_storagePath_totalWriteLatency_millisecond	p_latest_storagePath_maxTotalLatency_millisecond	p_average_storagePath_numberReadAveraged_number	p_average_storagePath_write_kiloBytesPerSecond	p_average_storagePath_commandsAveraged_number	p_average_storagePath_numberWriteAveraged_number	p_average_storagePath_totalReadLatency_millisecond	p_average_storagePath_read_kiloBytesPerSecond
host-10	00000000-0000-0000-0000-002590d3fca0	sata.vmhba1-sata.0:0-t10.ATA_____Samsung_SSD_840_PRO_Series______________S1ANNSAD756819B_____	20	0		1	46	3	1	0	45
host-10	00000000-0000-0000-0000-002590d3fca0	iqn.1998-01.com.vmware:apps-esxi41-3-7b994781-00023d000001,iqn.2011-03.example.org.istgt:6.0-iscsi,t,1-t10.FreeBSD_iSCSI_Disk______002590d0fed0050_________________	20	0		0	0	0	0	0	0
host-10	00000000-0000-0000-0000-002590d3fca0	aggregated	20		0						","sv3-app-vctr60.sv.splunk.com","vmware-perf","VMPerf:HostSystem","vmware:perf:storagePath","2016-06-20 03:34:40.000000 PDT"
"moid	uuid	instance	samp_int	p_average_storagePath_totalWriteLatency_millisecond	p_latest_storagePath_maxTotalLatency_millisecond	p_average_storagePath_numberReadAveraged_number	p_average_storagePath_write_kiloBytesPerSecond	p_average_storagePath_commandsAveraged_number	p_average_storagePath_numberWriteAveraged_number	p_average_storagePath_totalReadLatency_millisecond	p_average_storagePath_read_kiloBytesPerSecond
host-10	00000000-0000-0000-0000-002590d3fca0	sata.vmhba1-sata.0:0-t10.ATA_____Samsung_SSD_840_PRO_Series______________S1ANNSAD756819B_____	20	0		0	0	1	0	0	0
host-10	00000000-0000-0000-0000-002590d3fca0	iqn.1998-01.com.vmware:apps-esxi41-3-7b994781-00023d000001,iqn.2011-03.example.org.istgt:6.0-iscsi,t,1-t10.FreeBSD_iSCSI_Disk______002590d0fed0050_________________	20	0		0	0	0	0	0	0
host-10	00000000-0000-0000-0000-002590d3fca0	aggregated	20		0						","sv3-app-vctr60.sv.splunk.com","vmware-perf","VMPerf:HostSystem","vmware:perf:storagePath","2016-06-20 03:35:20.000000 PDT"
"moid	uuid	instance	samp_int	p_average_storagePath_totalWriteLatency_millisecond	p_latest_storagePath_maxTotalLatency_millisecond	p_average_storagePath_numberReadAveraged_number	p_average_storagePath_write_kiloBytesPerSecond	p_average_storagePath_commandsAveraged_number	p_average_storagePath_numberWriteAveraged_number	p_average_storagePath_totalReadLatency_millisecond	p_average_storagePath_read_kiloBytesPerSecond
host-10	00000000-0000-0000-0000-002590d3fca0	sata.vmhba1-sata.0:0-t10.ATA_____Samsung_SSD_840_PRO_Series______________S1ANNSAD756819B_____	20	0		2	72	4	2	0	64
host-10	00000000-0000-0000-0000-002590d3fca0	iqn.1998-01.com.vmware:apps-esxi41-3-7b994781-00023d000001,iqn.2011-03.example.org.istgt:6.0-iscsi,t,1-t10.FreeBSD_iSCSI_Disk______002590d0fed0050_________________	20	0		0	0	0	0	0	0
host-10	00000000-0000-0000-0000-002590d3fca0	aggregated	20		0						","sv3-app-vctr60.sv.splunk.com","vmware-perf","VMPerf:HostSystem","vmware:perf:storagePath","2016-06-20 03:30:40.000000 PDT"
"moid	uuid	instance	samp_int	p_average_storagePath_totalWriteLatency_millisecond	p_latest_storagePath_maxTotalLatency_millisecond	p_average_storagePath_numberReadAveraged_number	p_average_storagePath_write_kiloBytesPerSecond	p_average_storagePath_commandsAveraged_number	p_average_storagePath_numberWriteAveraged_number	p_average_storagePath_totalReadLatency_millisecond	p_average_storagePath_read_kiloBytesPerSecond
host-10	00000000-0000-0000-0000-002590d3fca0	sata.vmhba1-sata.0:0-t10.ATA_____Samsung_SSD_840_PRO_Series______________S1ANNSAD756819B_____	20	0		1	46	2	1	0	45
host-10	00000000-0000-0000-0000-002590d3fca0	iqn.1998-01.com.vmware:apps-esxi41-3-7b994781-00023d000001,iqn.2011-03.example.org.istgt:6.0-iscsi,t,1-t10.FreeBSD_iSCSI_Disk______002590d0fed0050_________________	20	0		0	0	0	0	0	0
host-10	00000000-0000-0000-0000-002590d3fca0	aggregated	20		0						","sv3-app-vctr60.sv.splunk.com","vmware-perf","VMPerf:HostSystem","vmware:perf:storagePath","2016-06-20 03:32:40.000000 PDT"
"moid	uuid	instance	samp_int	p_average_storagePath_totalWriteLatency_millisecond	p_latest_storagePath_maxTotalLatency_millisecond	p_average_storagePath_numberReadAveraged_number	p_average_storagePath_write_kiloBytesPerSecond	p_average_storagePath_commandsAveraged_number	p_average_storagePath_numberWriteAveraged_number	p_average_storagePath_totalReadLatency_millisecond	p_average_storagePath_read_kiloBytesPerSecond
host-10	00000000-0000-0000-0000-002590d3fca0	sata.vmhba1-sata.0:0-t10.ATA_____Samsung_SSD_840_PRO_Series______________S1ANNSAD756819B_____	20	0		5	46	7	1	0	149
host-10	00000000-0000-0000-0000-002590d3fca0	iqn.1998-01.com.vmware:apps-esxi41-3-7b994781-00023d000001,iqn.2011-03.example.org.istgt:6.0-iscsi,t,1-t10.FreeBSD_iSCSI_Disk______002590d0fed0050_________________	20	0		0	0	0	0	0	0
host-10	00000000-0000-0000-0000-002590d3fca0	aggregated	20		0						","sv3-app-vctr60.sv.splunk.com","vmware-perf","VMPerf:HostSystem","vmware:perf:storagePath","2016-06-20 03:31:40.000000 PDT"
"moid	uuid	instance	samp_int	p_average_storagePath_totalWriteLatency_millisecond	p_latest_storagePath_maxTotalLatency_millisecond	p_average_storagePath_numberReadAveraged_number	p_average_storagePath_write_kiloBytesPerSecond	p_average_storagePath_commandsAveraged_number	p_average_storagePath_numberWriteAveraged_number	p_average_storagePath_totalReadLatency_millisecond	p_average_storagePath_read_kiloBytesPerSecond
host-10	00000000-0000-0000-0000-002590d3fca0	sata.vmhba1-sata.0:0-t10.ATA_____Samsung_SSD_840_PRO_Series______________S1ANNSAD756819B_____	20	0		0	0	1	0	0	0
host-10	00000000-0000-0000-0000-002590d3fca0	iqn.1998-01.com.vmware:apps-esxi41-3-7b994781-00023d000001,iqn.2011-03.example.org.istgt:6.0-iscsi,t,1-t10.FreeBSD_iSCSI_Disk______002590d0fed0050_________________	20	0		0	0	0	0	0	0
host-10	00000000-0000-0000-0000-002590d3fca0	aggregated	20		0						","sv3-app-vctr60.sv.splunk.com","vmware-perf","VMPerf:HostSystem","vmware:perf:storagePath","2016-06-20 03:31:20.000000 PDT"
"moid	uuid	instance	samp_int	p_average_storagePath_totalWriteLatency_millisecond	p_latest_storagePath_maxTotalLatency_millisecond	p_average_storagePath_numberReadAveraged_number	p_average_storagePath_write_kiloBytesPerSecond	p_average_storagePath_commandsAveraged_number	p_average_storagePath_numberWriteAveraged_number	p_average_storagePath_totalReadLatency_millisecond	p_average_storagePath_read_kiloBytesPerSecond
host-10	00000000-0000-0000-0000-002590d3fca0	sata.vmhba1-sata.0:0-t10.ATA_____Samsung_SSD_840_PRO_Series______________S1ANNSAD756819B_____	20	0		0	0	1	0	0	0
host-10	00000000-0000-0000-0000-002590d3fca0	iqn.1998-01.com.vmware:apps-esxi41-3-7b994781-00023d000001,iqn.2011-03.example.org.istgt:6.0-iscsi,t,1-t10.FreeBSD_iSCSI_Disk______002590d0fed0050_________________	20	0		0	0	0	0	0	0
host-10	00000000-0000-0000-0000-002590d3fca0	aggregated	20		0						","sv3-app-vctr60.sv.splunk.com","vmware-perf","VMPerf:HostSystem","vmware:perf:storagePath","2016-06-20 03:32:20.000000 PDT"
"moid	uuid	instance	samp_int	p_average_storagePath_totalWriteLatency_millisecond	p_latest_storagePath_maxTotalLatency_millisecond	p_average_storagePath_numberReadAveraged_number	p_average_storagePath_write_kiloBytesPerSecond	p_average_storagePath_commandsAveraged_number	p_average_storagePath_numberWriteAveraged_number	p_average_storagePath_totalReadLatency_millisecond	p_average_storagePath_read_kiloBytesPerSecond
host-10	00000000-0000-0000-0000-002590d3fca0	sata.vmhba1-sata.0:0-t10.ATA_____Samsung_SSD_840_PRO_Series______________S1ANNSAD756819B_____	20	0		5	40	6	1	0	143
host-10	00000000-0000-0000-0000-002590d3fca0	iqn.1998-01.com.vmware:apps-esxi41-3-7b994781-00023d000001,iqn.2011-03.example.org.istgt:6.0-iscsi,t,1-t10.FreeBSD_iSCSI_Disk______002590d0fed0050_________________	20	0		0	0	0	0	0	0
host-10	00000000-0000-0000-0000-002590d3fca0	aggregated	20		0						","sv3-app-vctr60.sv.splunk.com","vmware-perf","VMPerf:HostSystem","vmware:perf:storagePath","2016-06-20 03:32:00.000000 PDT"
"moid	uuid	instance	samp_int	p_average_storagePath_totalWriteLatency_millisecond	p_latest_storagePath_maxTotalLatency_millisecond	p_average_storagePath_numberReadAveraged_number	p_average_storagePath_write_kiloBytesPerSecond	p_average_storagePath_commandsAveraged_number	p_average_storagePath_numberWriteAveraged_number	p_average_storagePath_totalReadLatency_millisecond	p_average_storagePath_read_kiloBytesPerSecond
host-10	00000000-0000-0000-0000-002590d3fca0	sata.vmhba1-sata.0:0-t10.ATA_____Samsung_SSD_840_PRO_Series______________S1ANNSAD756819B_____	20	0		4	1	4	0	0	104
host-10	00000000-0000-0000-0000-002590d3fca0	iqn.1998-01.com.vmware:apps-esxi41-3-7b994781-00023d000001,iqn.2011-03.example.org.istgt:6.0-iscsi,t,1-t10.FreeBSD_iSCSI_Disk______002590d0fed0050_________________	20	0		0	0	0	0	0	0
host-10	00000000-0000-0000-0000-002590d3fca0	aggregated	20		0						","sv3-app-vctr60.sv.splunk.com","vmware-perf","VMPerf:HostSystem","vmware:perf:storagePath","2016-06-20 03:30:20.000000 PDT"
"moid	uuid	instance	samp_int	p_average_storagePath_totalWriteLatency_millisecond	p_latest_storagePath_maxTotalLatency_millisecond	p_average_storagePath_numberReadAveraged_number	p_average_storagePath_write_kiloBytesPerSecond	p_average_storagePath_commandsAveraged_number	p_average_storagePath_numberWriteAveraged_number	p_average_storagePath_totalReadLatency_millisecond	p_average_storagePath_read_kiloBytesPerSecond
host-10	00000000-0000-0000-0000-002590d3fca0	sata.vmhba1-sata.0:0-t10.ATA_____Samsung_SSD_840_PRO_Series______________S1ANNSAD756819B_____	20	0		1	40	2	1	0	38
host-10	00000000-0000-0000-0000-002590d3fca0	iqn.1998-01.com.vmware:apps-esxi41-3-7b994781-00023d000001,iqn.2011-03.example.org.istgt:6.0-iscsi,t,1-t10.FreeBSD_iSCSI_Disk______002590d0fed0050_________________	20	0		0	0	0	0	0	0
host-10	00000000-0000-0000-0000-002590d3fca0	aggregated	20		0						","sv3-app-vctr60.sv.splunk.com","vmware-perf","VMPerf:HostSystem","vmware:perf:storagePath","2016-06-20 03:31:00.000000 PDT"
"moid	uuid	instance	samp_int	p_average_storagePath_totalWriteLatency_millisecond	p_latest_storagePath_maxTotalLatency_millisecond	p_average_storagePath_numberReadAveraged_number	p_average_storagePath_write_kiloBytesPerSecond	p_average_storagePath_commandsAveraged_number	p_average_storagePath_numberWriteAveraged_number	p_average_storagePath_totalReadLatency_millisecond	p_average_storagePath_read_kiloBytesPerSecond
host-10	00000000-0000-0000-0000-002590d3fca0	sata.vmhba1-sata.0:0-t10.ATA_____Samsung_SSD_840_PRO_Series______________S1ANNSAD756819B_____	20	0		6	46	7	1	0	150
host-10	00000000-0000-0000-0000-002590d3fca0	iqn.1998-01.com.vmware:apps-esxi41-3-7b994781-00023d000001,iqn.2011-03.example.org.istgt:6.0-iscsi,t,1-t10.FreeBSD_iSCSI_Disk______002590d0fed0050_________________	20	0		0	0	0	0	0	0
host-10	00000000-0000-0000-0000-002590d3fca0	aggregated	20		0						","sv3-app-vctr60.sv.splunk.com","vmware-perf","VMPerf:HostSystem","vmware:perf:storagePath","2016-06-20 03:30:00.000000 PDT"
"moid	uuid	instance	samp_int	p_latest_storagePath_maxTotalLatency_millisecond	p_average_storagePath_numberWriteAveraged_number	p_average_storagePath_totalWriteLatency_millisecond	p_average_storagePath_read_kiloBytesPerSecond	p_average_storagePath_write_kiloBytesPerSecond	p_average_storagePath_numberReadAveraged_number	p_average_storagePath_commandsAveraged_number	p_average_storagePath_totalReadLatency_millisecond
host-10	00000000-0000-0000-0000-002590d3fca0	sata.vmhba1-sata.0:0-t10.ATA_____Samsung_SSD_840_PRO_Series______________S1ANNSAD756819B_____	20		0	0	0	0	0	0	0
host-10	00000000-0000-0000-0000-002590d3fca0	iqn.1998-01.com.vmware:apps-esxi41-3-7b994781-00023d000001,iqn.2011-03.example.org.istgt:6.0-iscsi,t,1-t10.FreeBSD_iSCSI_Disk______002590d0fed0050_________________	20		0	0	0	0	0	0	0
host-10	00000000-0000-0000-0000-002590d3fca0	aggregated	20	0							","sv3-app-vctr60.sv.splunk.com","vmware-perf","VMPerf:HostSystem","vmware:perf:storagePath","2016-06-20 03:28:20.000000 PDT"
"moid	uuid	instance	samp_int	p_latest_storagePath_maxTotalLatency_millisecond	p_average_storagePath_numberWriteAveraged_number	p_average_storagePath_totalWriteLatency_millisecond	p_average_storagePath_read_kiloBytesPerSecond	p_average_storagePath_write_kiloBytesPerSecond	p_average_storagePath_numberReadAveraged_number	p_average_storagePath_commandsAveraged_number	p_average_storagePath_totalReadLatency_millisecond
host-10	00000000-0000-0000-0000-002590d3fca0	sata.vmhba1-sata.0:0-t10.ATA_____Samsung_SSD_840_PRO_Series______________S1ANNSAD756819B_____	20		1	0	137	33	5	7	0
host-10	00000000-0000-0000-0000-002590d3fca0	iqn.1998-01.com.vmware:apps-esxi41-3-7b994781-00023d000001,iqn.2011-03.example.org.istgt:6.0-iscsi,t,1-t10.FreeBSD_iSCSI_Disk______002590d0fed0050_________________	20		0	0	0	0	0	0	0
host-10	00000000-0000-0000-0000-002590d3fca0	aggregated	20	0							","sv3-app-vctr60.sv.splunk.com","vmware-perf","VMPerf:HostSystem","vmware:perf:storagePath","2016-06-20 03:28:00.000000 PDT"
"moid	uuid	instance	samp_int	p_latest_storagePath_maxTotalLatency_millisecond	p_average_storagePath_numberWriteAveraged_number	p_average_storagePath_totalWriteLatency_millisecond	p_average_storagePath_read_kiloBytesPerSecond	p_average_storagePath_write_kiloBytesPerSecond	p_average_storagePath_numberReadAveraged_number	p_average_storagePath_commandsAveraged_number	p_average_storagePath_totalReadLatency_millisecond
host-10	00000000-0000-0000-0000-002590d3fca0	sata.vmhba1-sata.0:0-t10.ATA_____Samsung_SSD_840_PRO_Series______________S1ANNSAD756819B_____	20		15	0	485	111	90	106	0
host-10	00000000-0000-0000-0000-002590d3fca0	iqn.1998-01.com.vmware:apps-esxi41-3-7b994781-00023d000001,iqn.2011-03.example.org.istgt:6.0-iscsi,t,1-t10.FreeBSD_iSCSI_Disk______002590d0fed0050_________________	20		0	0	0	0	0	0	0
host-10	00000000-0000-0000-0000-002590d3fca0	aggregated	20	0							","sv3-app-vctr60.sv.splunk.com","vmware-perf","VMPerf:HostSystem","vmware:perf:storagePath","2016-06-20 03:29:20.000000 PDT"
"moid	uuid	instance	samp_int	p_latest_storagePath_maxTotalLatency_millisecond	p_average_storagePath_numberWriteAveraged_number	p_average_storagePath_totalWriteLatency_millisecond	p_average_storagePath_read_kiloBytesPerSecond	p_average_storagePath_write_kiloBytesPerSecond	p_average_storagePath_numberReadAveraged_number	p_average_storagePath_commandsAveraged_number	p_average_storagePath_totalReadLatency_millisecond
host-10	00000000-0000-0000-0000-002590d3fca0	sata.vmhba1-sata.0:0-t10.ATA_____Samsung_SSD_840_PRO_Series______________S1ANNSAD756819B_____	20		1	0	38	40	1	2	0
host-10	00000000-0000-0000-0000-002590d3fca0	iqn.1998-01.com.vmware:apps-esxi41-3-7b994781-00023d000001,iqn.2011-03.example.org.istgt:6.0-iscsi,t,1-t10.FreeBSD_iSCSI_Disk______002590d0fed0050_________________	20		0	0	0	0	0	0	0
host-10	00000000-0000-0000-0000-002590d3fca0	aggregated	20	0							","sv3-app-vctr60.sv.splunk.com","vmware-perf","VMPerf:HostSystem","vmware:perf:storagePath","2016-06-20 03:27:40.000000 PDT"
"moid	uuid	instance	samp_int	p_latest_storagePath_maxTotalLatency_millisecond	p_average_storagePath_numberWriteAveraged_number	p_average_storagePath_totalWriteLatency_millisecond	p_average_storagePath_read_kiloBytesPerSecond	p_average_storagePath_write_kiloBytesPerSecond	p_average_storagePath_numberReadAveraged_number	p_average_storagePath_commandsAveraged_number	p_average_storagePath_totalReadLatency_millisecond
host-10	00000000-0000-0000-0000-002590d3fca0	sata.vmhba1-sata.0:0-t10.ATA_____Samsung_SSD_840_PRO_Series______________S1ANNSAD756819B_____	20		1	0	33	33	1	3	0
host-10	00000000-0000-0000-0000-002590d3fca0	iqn.1998-01.com.vmware:apps-esxi41-3-7b994781-00023d000001,iqn.2011-03.example.org.istgt:6.0-iscsi,t,1-t10.FreeBSD_iSCSI_Disk______002590d0fed0050_________________	20		0	0	0	0	0	0	0
host-10	00000000-0000-0000-0000-002590d3fca0	aggregated	20	0							","sv3-app-vctr60.sv.splunk.com","vmware-perf","VMPerf:HostSystem","vmware:perf:storagePath","2016-06-20 03:27:00.000000 PDT"
"moid	uuid	instance	samp_int	p_latest_storagePath_maxTotalLatency_millisecond	p_average_storagePath_numberWriteAveraged_number	p_average_storagePath_totalWriteLatency_millisecond	p_average_storagePath_read_kiloBytesPerSecond	p_average_storagePath_write_kiloBytesPerSecond	p_average_storagePath_numberReadAveraged_number	p_average_storagePath_commandsAveraged_number	p_average_storagePath_totalReadLatency_millisecond
host-10	00000000-0000-0000-0000-002590d3fca0	sata.vmhba1-sata.0:0-t10.ATA_____Samsung_SSD_840_PRO_Series______________S1ANNSAD756819B_____	20		0	0	110	6	4	5	0
host-10	00000000-0000-0000-0000-002590d3fca0	iqn.1998-01.com.vmware:apps-esxi41-3-7b994781-00023d000001,iqn.2011-03.example.org.istgt:6.0-iscsi,t,1-t10.FreeBSD_iSCSI_Disk______002590d0fed0050_________________	20		0	0	0	0	0	0	0
host-10	00000000-0000-0000-0000-002590d3fca0	aggregated	20	0							","sv3-app-vctr60.sv.splunk.com","vmware-perf","VMPerf:HostSystem","vmware:perf:storagePath","2016-06-20 03:27:20.000000 PDT"
"moid	uuid	instance	samp_int	p_latest_storagePath_maxTotalLatency_millisecond	p_average_storagePath_numberWriteAveraged_number	p_average_storagePath_totalWriteLatency_millisecond	p_average_storagePath_read_kiloBytesPerSecond	p_average_storagePath_write_kiloBytesPerSecond	p_average_storagePath_numberReadAveraged_number	p_average_storagePath_commandsAveraged_number	p_average_storagePath_totalReadLatency_millisecond
host-10	00000000-0000-0000-0000-002590d3fca0	sata.vmhba1-sata.0:0-t10.ATA_____Samsung_SSD_840_PRO_Series______________S1ANNSAD756819B_____	20		7	0	45	114	1	8	0
